reel_id,theme,category,posted_date,views,reach,saves,shares,profile_visits,link_clicks,notes
theme01_reveal,1,A-reveal,,,,,,,,
theme07_globe,7,C-tracker,,,,,,,,
theme04_split,4,B-problem,,,,,,,,
T1-Receipt-CostSplit,4,B-problem,,,,,,,,
T2-Reveal-CostSplit,4,B-problem,,,,,,,,
T3-Speedrun-CostSplit,4,B-problem,,,,,,,,
T4-Callout-CostSplit,4,B-problem,,,,,,,,
T5-Atlas-CostSplit,4,B-problem,,,,,,,,
T1-Receipt-PackingList,6,B-problem,,,,,,,,
T2-Reveal-PackingList,6,B-problem,,,,,,,,
T3-Speedrun-PackingList,6,B-problem,,,,,,,,
T4-Callout-PackingList,6,B-problem,,,,,,,,
T5-Atlas-PackingList,6,B-problem,,,,,,,,
T1-Receipt-HiddenSideQuest,1,A-reveal,,,,,,,,
T2-Reveal-HiddenSideQuest,1,A-reveal,,,,,,,,
T3-Speedrun-HiddenSideQuest,1,A-reveal,,,,,,,,
T4-Callout-HiddenSideQuest,1,A-reveal,,,,,,,,
T5-Atlas-HiddenSideQuest,1,A-reveal,,,,,,,,
T1-Receipt-Itinerary,5,B-problem,,,,,,,,
T2-Reveal-Itinerary,5,B-problem,,,,,,,,
T3-Speedrun-Itinerary,5,B-problem,,,,,,,,
T4-Callout-Itinerary,5,B-problem,,,,,,,,
T5-Atlas-Itinerary,5,B-problem,,,,,,,,
T1-Receipt-Spotify,6,B-problem,,,,,,,,
T2-Reveal-Spotify,6,B-problem,,,,,,,,
T3-Speedrun-Spotify,6,B-problem,,,,,,,,
T4-Callout-Spotify,6,B-problem,,,,,,,,
T5-Atlas-Spotify,6,B-problem,,,,,,,,
